,Prix,Marque,Modèle,Carburant,Kilométrage,Boitedevitesse,Puissancefiscale,Année
17757,7990,Citroen,C3,Essence,55000,Manuelle,5.0,2010.0
17758,7900,Citroen,C3,Essence,55000,Manuelle,4.0,2012.0
17759,6490,Ford,Fiesta,Essence,55000,Manuelle,4.0,2012.0
17760,7500,Citroen,C3,Essence,55000,Manuelle,5.0,2012.0
17761,6750,Citroen,C3,Diesel,55000,Manuelle,4.0,2012.0
17762,14500,Bmw,Serie 1,Essence,55000,Manuelle,7.0,2013.0
17763,10900,Renault,Scenic,Diesel,55000,Manuelle,7.0,2013.0
17764,8990,Dacia,Sandero,Diesel,55000,Manuelle,4.0,2013.0
17765,6800,Citroen,C3,Essence,55000,Manuelle,4.0,2013.0
17766,31500,Mercedes,Classe A,Essence,55000,Automatique,24.0,2013.0
17767,7290,Renault,Clio,Essence,55000,Manuelle,4.0,2014.0
17768,25690,Renault,Megane,Essence,55000,Manuelle,16.0,2015.0
17769,13680,Dacia,Duster,Diesel,55000,Manuelle,6.0,2015.0
17770,48000,Mercedes,Classe C,Essence,55000,Automatique,25.0,2015.0
17771,10000,Renault,Clio,Diesel,55000,Manuelle,4.0,2015.0
17772,13500,Peugeot,308,Essence,55000,Manuelle,6.0,2016.0
17773,10500,Peugeot,2008,Essence,55000,Manuelle,4.0,2016.0
17774,8990,Opel,Corsa,Essence,55000,Manuelle,5.0,2016.0
17775,20990,Audi,A3,Diesel,55000,Manuelle,7.0,2016.0
17776,19400,Volkswagen,Polo,Essence,55000,Automatique,10.0,2016.0
17777,8490,Citroen,C3,Diesel,55000,Manuelle,3.0,2016.0
17778,12490,Renault,Clio,Diesel,55000,Manuelle,5.0,2016.0
17779,9500,Citroen,C3,Essence,55000,Manuelle,4.0,2016.0
17780,10990,Renault,Clio,Essence,55000,Manuelle,4.0,2017.0
17781,12900,Renault,Captur,Diesel,55000,Manuelle,5.0,2017.0
17782,17300,Mini,Mini,Essence,55000,Automatique,7.0,2017.0
17783,13489,Renault,Captur,Diesel,55000,Automatique,4.0,2017.0
17784,11990,Renault,Megane,Essence,55000,Manuelle,5.0,2017.0
17785,8500,Dacia,Sandero,Essence,55000,Manuelle,5.0,2017.0
17786,14990,Mini,Mini,Diesel,55000,Manuelle,5.0,2017.0
17787,24000,Volkswagen,Tiguan,Diesel,55000,Manuelle,8.0,2017.0
17788,13100,Peugeot,208,Essence,55000,Manuelle,5.0,2017.0
17789,10500,Renault,Clio,Essence,55000,Manuelle,5.0,2017.0
17790,15990,Renault,Kadjar,Essence,55000,Manuelle,7.0,2017.0
17791,11100,Ford,Fiesta,Essence,55000,Manuelle,5.0,2017.0
17792,6000,Renault,Twingo,Essence,55000,Manuelle,4.0,2017.0
17793,12900,Renault,Clio,Diesel,55000,Manuelle,4.0,2017.0
17794,12500,Peugeot,208,Essence,55000,Manuelle,4.0,2017.0
17795,18490,Renault,Scenic,Diesel,55000,Automatique,5.0,2017.0
17796,9490,Renault,Twingo,Essence,55000,Manuelle,4.0,2017.0
17797,20900,Mercedes,Classe A,Diesel,55000,Automatique,5.0,2017.0
17798,9240,Fiat,500,Essence,55000,Manuelle,4.0,2017.0
17799,20490,Renault,Megane,Essence,55000,Automatique,11.0,2017.0
17800,31000,Mercedes,Classe C,Diesel,55000,Automatique,9.0,2017.0
17801,14400,Peugeot,2008,Diesel,55000,Manuelle,5.0,2017.0
17802,8000,Renault,Twingo,Essence,55000,Manuelle,4.0,2017.0
17803,10490,Renault,Clio,Essence,55000,Manuelle,4.0,2017.0
17804,14990,Peugeot,2008,Diesel,55000,Manuelle,5.0,2017.0
17805,15990,Mini,Mini,Essence,55000,Manuelle,5.0,2017.0
17806,14490,Peugeot,308,Diesel,55000,Manuelle,5.0,2018.0
17807,18500,Mini,Mini,Diesel,55000,Automatique,6.0,2018.0
17808,39800,Volkswagen,Tiguan,Diesel,55000,Automatique,14.0,2018.0
17809,21000,Volkswagen,Tiguan,Diesel,55000,Automatique,8.0,2018.0
17810,16990,Peugeot,308,Diesel,55000,Manuelle,6.0,2018.0
17811,16990,Dacia,Duster,Diesel,55000,Manuelle,6.0,2018.0
17812,10000,Peugeot,208,Essence,55000,Manuelle,4.0,2018.0
17813,13290,Renault,Captur,Diesel,55000,Manuelle,4.0,2018.0
17814,26000,Mercedes,Classe A,Diesel,55000,Automatique,9.0,2018.0
17815,15600,Volkswagen,Polo,Essence,55000,Automatique,5.0,2018.0
